Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (approved),Curricular units 2nd sem (approved),Unemployment rate,Inflation rate,GDP,Target
1,1,1,10,1,1,1,22,27,7,8,1,0,0,1,0,0,18,6,6,13.9,-0.3,0.79,Graduate
1,1,1,6,1,1,1,13,14,10,10,1,0,0,1,0,0,19,5,5,10.8,1.4,1.74,Graduate
1,1,3,15,1,1,1,1,28,5,8,1,0,0,1,0,0,18,6,6,10.8,1.4,1.74,Graduate
1,8,2,12,1,1,1,22,27,10,10,1,0,0,1,0,0,18,6,6,7.6,2.6,0.32,Dropout
1,1,2,6,1,1,1,22,28,10,8,0,0,0,1,0,0,18,5,5,9.4,-0.8,-3.12,Graduate
1,1,1,9,1,1,1,2,14,5,6,0,0,0,1,0,0,18,5,5,11.1,0.6,2.02,Graduate
1,8,1,11,1,1,1,1,1,5,6,1,0,0,1,0,0,21,3,2,9.4,-0.8,-3.12,Dropout
1,1,2,9,1,1,1,13,14,10,8,1,0,0,1,0,0,19,5,4,16.2,0.3,-0.92,Graduate
1,1,1,2,1,1,1,3,14,3,10,0,0,0,1,0,0,19,0,0,10.8,1.4,1.74,Dropout
1,1,1,14,1,1,1,23,28,10,10,0,0,0,1,0,1,19,5,5,9.4,-0.8,-3.12,Graduate
1,1,1,6,1,1,1,13,28,5,8,1,0,0,1,0,0,19,6,6,15.5,2.8,-4.06,Graduate
1,8,6,13,1,1,1,1,1,5,6,1,0,0,1,0,0,19,5,0,13.9,-0.3,0.79,Dropout
1,15,1,6,1,14,1,22,27,10,10,1,0,0,1,0,0,20,6,5,12.4,0.5,1.79,Graduate
1,8,3,10,1,1,1,1,29,6,4,1,0,0,1,0,0,18,6,6,12.4,0.5,1.79,Graduate
1,8,6,12,1,1,1,1,27,9,10,1,0,0,1,0,0,19,7,8,12.4,0.5,1.79,Graduate
1,1,3,12,1,1,1,13,14,6,9,1,0,0,1,0,1,18,7,7,13.9,-0.3,0.79,Dropout
1,8,2,5,1,1,1,22,27,10,10,1,0,0,1,0,0,18,6,6,7.6,2.6,0.32,Graduate
1,1,4,9,1,1,1,1,14,5,9,1,0,0,1,0,0,19,5,5,8.9,1.4,3.51,Graduate
1,8,6,12,1,1,1,1,14,4,4,1,0,0,1,0,0,19,5,0,13.9,-0.3,0.79,Dropout
1,14,1,10,1,1,1,23,27,10,8,0,0,0,1,0,0,20,9,7,7.6,2.6,0.32,Graduate
1,1,1,14,1,1,1,1,28,4,10,0,0,1,0,0,1,19,5,4,12.4,0.5,1.79,Dropout
1,8,1,14,1,1,1,13,14,6,6,1,0,0,1,0,0,20,4,4,7.6,2.6,0.32,Graduate
1,1,1,15,1,1,1,1,1,20,39,0,0,1,1,0,1,18,6,6,8.9,1.4,3.51,Graduate
1,9,1,12,1,1,1,13,1,5,9,0,0,0,1,0,0,18,7,8,13.9,-0.3,0.79,Graduate
1,1,5,12,1,1,1,22,27,10,10,1,0,0,1,0,0,19,6,6,7.6,2.6,0.32,Graduate
1,1,6,15,1,1,1,13,1,5,5,1,0,0,1,0,1,19,6,5,12.4,0.5,1.79,Graduate
1,1,3,10,1,1,1,1,10,10,11,1,0,0,1,0,1,19,6,6,12.4,0.5,1.79,Graduate
1,1,3,12,1,1,1,13,14,10,8,1,0,0,1,0,1,19,7,8,15.5,2.8,-4.06,Graduate
1,8,5,16,1,1,1,22,28,6,7,1,0,0,1,0,1,19,5,5,9.4,-0.8,-3.12,Graduate
1,1,4,11,1,1,1,10,14,10,10,1,0,0,1,0,0,19,0,0,7.6,2.6,0.32,Dropout
1,8,1,11,1,1,1,1,27,10,11,1,0,0,1,0,0,20,5,3,7.6,2.6,0.32,Dropout
1,1,1,9,1,1,1,3,14,3,11,0,0,0,1,0,0,18,5,5,13.9,-0.3,0.79,Graduate
1,1,1,12,1,1,1,1,14,10,10,0,0,0,1,0,1,20,6,7,11.1,0.6,2.02,Graduate
1,1,1,6,1,1,1,1,28,5,8,0,0,0,1,0,0,19,5,5,7.6,2.6,0.32,Graduate
1,1,1,16,1,1,1,22,27,10,10,1,0,0,1,0,0,18,6,5,7.6,2.6,0.32,Graduate
1,14,1,16,1,1,1,3,27,3,6,1,0,0,1,0,0,21,3,3,9.4,-0.8,-3.12,Dropout
1,1,1,16,1,1,1,23,27,7,7,0,0,0,1,0,0,19,6,4,7.6,2.6,0.32,Dropout
1,1,1,9,1,1,1,23,28,10,10,0,0,0,1,0,1,18,5,5,12.4,0.5,1.79,Graduate
1,8,2,10,1,1,1,1,27,8,10,1,0,0,1,0,1,18,6,6,12.7,3.7,-1.7,Graduate
1,1,3,10,1,1,1,13,1,10,11,1,0,0,1,0,0,20,4,6,9.4,-0.8,-3.12,Graduate
1,12,1,3,0,1,1,1,14,7,9,0,0,0,1,0,1,24,5,5,11.1,0.6,2.02,Graduate
1,1,1,14,1,1,1,13,1,5,2,0,0,0,1,0,0,19,6,6,10.8,1.4,1.74,Dropout
1,1,1,12,1,1,1,13,27,10,8,1,0,0,1,0,1,18,7,7,15.5,2.8,-4.06,Graduate
1,1,2,12,1,1,1,13,14,10,10,1,0,0,1,0,0,18,7,8,15.5,2.8,-4.06,Graduate
1,8,5,16,1,1,1,10,10,5,5,1,0,0,1,0,0,21,4,3,10.8,1.4,1.74,Dropout
1,8,2,14,1,1,1,1,14,6,5,0,0,0,1,0,0,19,5,5,7.6,2.6,0.32,Graduate
1,8,1,15,1,1,1,13,27,8,8,0,0,0,1,0,1,19,6,6,15.5,2.8,-4.06,Graduate
1,8,3,10,1,1,1,13,14,8,9,0,0,0,1,0,0,19,5,4,13.9,-0.3,0.79,Graduate
1,12,1,12,1,3,1,2,2,2,2,0,0,0,1,0,0,29,7,7,12.7,3.7,-1.7,Graduate
1,14,1,10,1,1,1,13,14,5,9,1,0,0,1,0,0,21,3,2,16.2,0.3,-0.92,Dropout
1,8,2,13,1,1,1,22,27,4,11,0,0,0,1,0,0,20,7,8,15.5,2.8,-4.06,Graduate
1,8,1,12,1,1,1,2,28,5,6,1,0,0,1,0,0,19,6,6,7.6,2.6,0.32,Graduate
1,13,1,3,0,1,1,13,2,5,7,0,0,0,1,0,0,26,3,5,9.4,-0.8,-3.12,Graduate
1,8,2,11,1,1,1,22,27,10,9,1,0,1,0,0,0,20,4,6,11.1,0.6,2.02,Dropout
1,12,1,16,1,1,1,22,14,10,6,0,0,0,1,0,0,27,5,5,7.6,2.6,0.32,Graduate
1,1,2,12,1,1,1,19,24,12,12,1,0,0,1,0,0,20,4,4,7.6,2.6,0.32,Dropout
1,1,5,16,1,1,1,22,14,10,6,1,0,0,1,0,0,18,5,5,9.4,-0.8,-3.12,Dropout
1,4,1,12,1,3,1,1,1,10,6,0,0,0,1,0,0,33,6,6,16.2,0.3,-0.92,Dropout
1,14,1,16,1,1,1,3,1,4,4,1,0,0,1,0,0,35,21,19,12.4,0.5,1.79,Graduate
1,12,1,15,1,12,1,13,14,4,5,0,0,1,0,0,0,27,5,0,11.1,0.6,2.02,Dropout
1,9,3,5,1,1,1,1,27,6,6,1,0,0,0,0,0,19,6,0,15.5,2.8,-4.06,Dropout
1,8,2,11,1,1,1,1,14,5,7,0,0,0,1,0,0,20,0,0,11.1,0.6,2.02,Dropout
1,9,2,9,1,1,1,3,3,6,8,1,0,1,0,0,0,20,3,3,10.8,1.4,1.74,Dropout
1,8,3,12,1,1,1,23,1,10,5,1,0,0,1,0,1,18,6,6,7.6,2.6,0.32,Graduate
1,12,1,6,1,1,1,1,14,10,10,1,0,0,1,0,0,24,2,0,8.9,1.4,3.51,Dropout
1,8,4,5,1,1,1,1,3,5,2,1,0,0,1,0,0,20,6,6,16.2,0.3,-0.92,Graduate
1,1,1,11,1,1,1,13,28,10,9,0,0,0,1,0,1,21,6,6,13.9,-0.3,0.79,Graduate
1,12,1,9,1,1,1,10,3,5,4,1,0,0,1,0,0,24,0,0,7.6,2.6,0.32,Dropout
1,16,1,16,1,1,1,1,1,5,11,0,0,0,1,0,0,21,0,0,12.4,0.5,1.79,Dropout
1,1,4,12,1,1,1,23,28,10,9,1,0,0,1,0,0,18,7,7,12.7,3.7,-1.7,Graduate
1,12,1,17,0,15,1,13,1,4,5,1,0,0,1,0,0,27,0,0,8.9,1.4,3.51,Dropout
1,9,6,12,1,1,1,22,27,6,6,1,0,0,1,0,0,18,8,8,9.4,-0.8,-3.12,Graduate
1,4,1,7,1,3,1,3,2,3,3,0,0,0,1,0,0,35,0,0,13.9,-0.3,0.79,Dropout
1,1,1,16,1,1,1,13,14,4,9,0,0,0,1,0,0,18,7,7,11.1,0.6,2.02,Graduate
1,1,1,6,1,1,1,1,1,5,8,1,0,0,1,0,0,19,4,4,10.8,1.4,1.74,Graduate
1,1,4,10,1,1,1,13,14,5,1,1,0,0,1,0,0,20,6,6,7.6,2.6,0.32,Graduate
1,1,4,12,1,1,1,13,14,8,8,1,0,0,1,0,0,18,7,7,10.8,1.4,1.74,Graduate
1,15,1,10,1,14,1,23,28,6,11,0,0,1,1,0,0,21,6,6,13.9,-0.3,0.79,Graduate
1,8,2,10,1,1,1,13,27,10,9,0,0,0,1,0,1,18,5,4,16.2,0.3,-0.92,Graduate
1,1,1,10,1,1,1,19,24,1,1,1,0,0,1,0,0,18,4,4,7.6,2.6,0.32,Graduate
1,1,2,12,1,1,1,13,28,10,10,1,0,0,1,0,0,18,7,7,12.7,3.7,-1.7,Graduate
1,1,4,15,1,1,1,3,14,2,5,1,0,0,1,0,1,18,6,6,16.2,0.3,-0.92,Graduate
1,1,1,6,1,1,1,13,1,9,8,1,0,0,1,0,0,19,6,5,13.9,-0.3,0.79,Graduate
1,12,1,11,1,12,1,3,14,3,4,0,0,0,1,0,1,36,6,5,16.2,0.3,-0.92,Dropout
1,1,2,12,1,1,1,23,1,8,5,1,0,0,1,0,1,18,7,7,12.7,3.7,-1.7,Graduate
1,1,1,12,1,1,1,22,27,10,10,0,0,0,1,0,1,18,6,6,7.6,2.6,0.32,Graduate
1,14,1,8,1,1,1,1,3,10,3,1,0,0,1,0,1,20,6,6,13.9,-0.3,0.79,Graduate
1,12,1,17,0,1,1,22,27,10,10,0,0,0,1,0,1,26,0,0,16.2,0.3,-0.92,Dropout
1,14,1,15,1,1,1,1,1,5,6,0,0,0,1,0,0,21,6,6,7.6,2.6,0.32,Graduate
1,9,1,9,1,1,1,13,3,6,6,1,0,0,1,0,1,19,5,5,12.4,0.5,1.79,Graduate
1,12,1,3,0,1,1,13,27,9,8,1,0,0,1,0,0,24,1,0,9.4,-0.8,-3.12,Dropout
1,12,1,3,0,1,1,1,14,6,5,0,0,0,1,0,1,27,1,0,8.9,1.4,3.51,Dropout
1,8,1,6,1,1,1,13,27,2,4,0,0,0,1,0,0,21,0,2,7.6,2.6,0.32,Dropout
1,1,1,9,1,1,1,23,28,8,8,0,0,0,1,0,1,18,4,3,9.4,-0.8,-3.12,Graduate
2,1,4,16,1,1,1,22,27,6,8,0,1,0,1,0,1,19,6,6,10.8,1.4,1.74,Graduate
1,1,3,11,1,1,1,1,1,4,4,1,0,0,1,0,0,18,4,2,9.4,-0.8,-3.12,Dropout
1,16,1,12,1,1,1,13,1,6,10,0,0,0,1,0,1,19,5,7,11.1,0.6,2.02,Graduate
1,9,1,12,1,1,1,1,28,5,6,1,0,0,1,0,1,19,6,7,16.2,0.3,-0.92,Graduate
2,4,1,17,0,17,1,25,5,4,4,0,0,0,1,0,0,33,6,5,11.1,0.6,2.02,Graduate
2,4,1,9,1,3,1,1,4,4,11,0,0,0,1,0,0,45,5,5,12.4,0.5,1.79,Graduate
1,1,1,10,1,1,1,1,1,10,10,0,0,0,1,0,1,20,6,6,11.1,0.6,2.02,Graduate
1,12,2,14,1,1,1,19,24,1,1,1,0,0,1,0,0,28,0,0,7.6,2.6,0.32,Dropout
1,14,1,12,1,1,1,1,1,6,9,1,0,0,1,0,1,19,7,7,12.7,3.7,-1.7,Graduate
1,1,2,11,1,1,1,1,27,5,6,1,0,0,1,0,0,18,6,3,12.7,3.7,-1.7,Graduate
1,12,1,11,1,3,1,13,14,5,7,0,0,0,1,0,0,38,0,0,15.5,2.8,-4.06,Dropout
1,1,2,14,1,1,1,1,3,5,4,0,0,0,1,0,0,19,5,5,9.4,-0.8,-3.12,Graduate
1,1,1,11,1,1,1,1,27,10,10,0,0,0,1,0,1,21,5,5,15.5,2.8,-4.06,Graduate
1,1,1,9,1,1,1,22,1,10,11,0,0,0,1,0,0,21,3,1,16.2,0.3,-0.92,Dropout
1,1,1,10,1,1,1,23,27,10,10,0,0,0,1,0,1,22,5,6,10.8,1.4,1.74,Graduate
1,1,1,16,1,1,1,13,14,6,8,0,0,0,1,0,1,18,5,6,9.4,-0.8,-3.12,Graduate
1,8,2,10,1,1,1,22,27,4,10,0,1,0,1,0,1,18,6,6,15.5,2.8,-4.06,Graduate
1,1,1,8,1,1,1,13,1,10,10,1,0,0,0,0,0,25,4,4,9.4,-0.8,-3.12,Dropout
1,12,1,6,1,12,1,13,14,10,8,0,0,1,0,0,0,24,3,3,16.2,0.3,-0.92,Dropout
1,1,2,9,1,1,1,22,14,6,6,1,0,0,1,0,1,20,5,5,12.4,0.5,1.79,Graduate
1,12,1,9,1,1,1,22,1,10,2,0,0,0,0,0,0,25,0,0,10.8,1.4,1.74,Dropout
1,1,1,9,1,1,1,23,14,10,11,0,0,0,1,0,1,20,9,10,8.9,1.4,3.51,Graduate
1,4,1,12,1,3,1,13,28,6,4,0,0,0,1,0,0,23,8,8,9.4,-0.8,-3.12,Graduate
1,8,3,12,1,1,1,13,27,8,7,1,0,0,1,0,1,19,7,7,10.8,1.4,1.74,Graduate
1,15,1,4,1,14,1,22,27,10,11,0,0,1,0,0,0,29,3,3,13.9,-0.3,0.79,Dropout
1,1,3,11,1,1,1,13,27,5,8,1,0,0,1,0,0,21,6,4,11.1,0.6,2.02,Graduate
1,1,1,14,1,1,1,13,1,10,9,1,0,0,1,0,1,18,6,5,11.1,0.6,2.02,Graduate
1,1,3,15,1,1,1,23,27,8,8,1,0,0,1,0,1,18,6,6,8.9,1.4,3.51,Dropout
1,1,1,6,1,1,1,7,14,12,7,0,0,0,1,0,0,19,5,5,7.6,2.6,0.32,Graduate
1,8,1,9,1,1,1,1,1,5,5,0,0,0,1,0,0,18,5,5,8.9,1.4,3.51,Graduate
2,12,1,13,1,12,1,23,27,8,8,1,0,1,0,0,1,37,1,0,8.9,1.4,3.51,Dropout
1,8,1,17,0,15,1,22,27,7,7,0,0,0,1,0,0,29,5,5,16.2,0.3,-0.92,Graduate
1,1,1,10,1,1,1,1,1,10,9,1,0,0,1,0,1,19,5,5,12.4,0.5,1.79,Graduate
1,14,1,10,1,1,1,1,1,4,2,1,0,1,0,0,0,22,6,2,16.2,0.3,-0.92,Dropout
1,1,1,11,1,1,1,22,28,10,8,0,0,0,1,0,1,20,6,5,15.5,2.8,-4.06,Graduate
1,12,1,3,0,1,1,22,27,13,13,0,0,0,1,0,0,34,0,0,12.7,3.7,-1.7,Dropout
1,14,1,7,1,1,1,22,28,10,10,0,0,1,0,0,0,30,8,6,7.6,2.6,0.32,Dropout
1,1,1,10,1,1,1,1,1,5,5,0,0,0,1,0,0,18,6,6,10.8,1.4,1.74,Graduate
1,1,1,10,1,1,1,23,14,10,6,0,0,0,1,0,0,18,6,6,12.4,0.5,1.79,Graduate
1,1,2,15,1,1,1,3,1,2,4,1,0,0,1,0,0,18,4,3,9.4,-0.8,-3.12,Graduate
1,8,4,12,1,1,1,4,1,3,4,1,0,0,1,0,0,18,7,7,12.7,3.7,-1.7,Graduate
1,1,2,15,1,1,1,23,28,10,10,1,0,0,1,0,1,19,5,5,12.7,3.7,-1.7,Graduate
1,1,1,5,1,1,1,22,27,10,10,1,0,0,1,0,1,19,6,6,10.8,1.4,1.74,Graduate
1,1,5,12,1,1,1,1,1,10,10,0,0,0,1,0,1,18,7,7,12.7,3.7,-1.7,Graduate
1,15,1,4,1,14,1,22,28,5,9,0,0,0,1,0,1,21,6,5,13.9,-0.3,0.79,Graduate
1,1,2,9,1,1,1,1,14,10,10,1,0,0,0,0,0,20,2,1,7.6,2.6,0.32,Dropout
1,8,1,9,1,1,1,10,14,5,9,1,0,0,1,0,0,20,5,5,13.9,-0.3,0.79,Graduate
1,1,1,12,1,1,1,5,1,3,6,0,0,0,1,0,0,19,7,8,11.1,0.6,2.02,Graduate
1,1,1,10,1,1,1,1,28,5,6,0,0,0,1,0,0,20,6,6,16.2,0.3,-0.92,Graduate
1,8,3,12,1,1,1,10,1,5,11,1,0,0,1,0,0,18,7,8,13.9,-0.3,0.79,Graduate
1,13,1,16,1,1,1,22,28,4,4,0,0,0,1,0,0,20,5,3,12.7,3.7,-1.7,Dropout
2,4,1,8,1,3,1,5,4,3,1,0,0,1,0,0,0,29,7,5,7.6,2.6,0.32,Dropout
1,1,1,12,1,1,1,13,14,6,6,1,0,0,1,0,1,20,7,7,15.5,2.8,-4.06,Graduate
1,7,2,9,1,1,1,23,27,10,10,1,0,0,1,0,1,22,4,4,16.2,0.3,-0.92,Graduate
4,1,1,3,0,1,1,24,14,5,11,1,0,0,1,0,1,47,5,6,16.2,0.3,-0.92,Graduate
2,16,1,17,0,1,1,22,27,9,5,0,0,0,1,0,0,31,5,5,8.9,1.4,3.51,Graduate
